Vehicle,year,sales
Chevy Volt,2011,7671
Chevy Volt,2012,23461
Chevy Volt,2013,23094
Chevy Volt,2014,18805
Chevy Volt,2015,15393
Chevy Volt,2016,24739
Chevy Volt,2017,20349
Chevy Volt,2018,18306
Chevy Volt,2019,4915
Nissan Leaf,2011,9674
Nissan Leaf,2012,9819
Nissan Leaf,2013,22610
Nissan Leaf,2014,30200
Nissan Leaf,2015,17269
Nissan Leaf,2016,14006
Nissan Leaf,2017,11230
Nissan Leaf,2018,14715
Nissan Leaf,2019,12365
Smart ED,2011,342
Smart ED,2012,139
Smart ED,2013,923
Smart ED,2014,2594
Smart ED,2015,1387
Smart ED,2016,657
Smart ED,2017,544
Smart ED,2018,1219
Smart ED,2019,680
Mitsubishi I EV,2011,76
Mitsubishi I EV,2012,588
Mitsubishi I EV,2013,1029
Mitsubishi I EV,2014,196
Mitsubishi I EV,2015,115
Mitsubishi I EV,2016,94
Mitsubishi I EV,2017,6
Mitsubishi I EV,2018,NA
Mitsubishi I EV,2019,NA
BMW Active E,2011,NA
BMW Active E,2012,673
BMW Active E,2013,NA
BMW Active E,2014,NA
BMW Active E,2015,NA
BMW Active E,2016,NA
BMW Active E,2017,NA
BMW Active E,2018,NA
BMW Active E,2019,NA
Prius PHEV,2011,NA
Prius PHEV,2012,12749
Prius PHEV,2013,12088
Prius PHEV,2014,13264
Prius PHEV,2015,4191
Prius PHEV,2016,2474
Prius PHEV,2017,20936
Prius PHEV,2018,27595
Prius PHEV,2019,23630
Ford Focus EV,2011,NA
Ford Focus EV,2012,683
Ford Focus EV,2013,1738
Ford Focus EV,2014,1964
Ford Focus EV,2015,1582
Ford Focus EV,2016,901
Ford Focus EV,2017,1817
Ford Focus EV,2018,560
Ford Focus EV,2019,NA
Honda Fit EV,2011,NA
Honda Fit EV,2012,93
Honda Fit EV,2013,569
Honda Fit EV,2014,407
Honda Fit EV,2015,2
Honda Fit EV,2016,NA
Honda Fit EV,2017,NA
Honda Fit EV,2018,NA
Honda Fit EV,2019,NA
Tesla Model S,2011,NA
Tesla Model S,2012,2400
Tesla Model S,2013,19400
Tesla Model S,2014,16750
Tesla Model S,2015,26200
Tesla Model S,2016,30200
Tesla Model S,2017,26500
Tesla Model S,2018,25745
Tesla Model S,2019,15090
Toyota RAV4 EV,2011,NA
Toyota RAV4 EV,2012,192
Toyota RAV4 EV,2013,1005
Toyota RAV4 EV,2014,1184
Toyota RAV4 EV,2015,18
Toyota RAV4 EV,2016,NA
Toyota RAV4 EV,2017,NA
Toyota RAV4 EV,2018,NA
Toyota RAV4 EV,2019,NA
Ford C-Max Energi,2011,NA
Ford C-Max Energi,2012,2374
Ford C-Max Energi,2013,7154
Ford C-Max Energi,2014,8433
Ford C-Max Energi,2015,7591
Ford C-Max Energi,2016,7957
Ford C-Max Energi,2017,8140
Ford C-Max Energi,2018,582
Ford C-Max Energi,2019,NA
Honda Accord,2011,NA
Honda Accord,2012,NA
Honda Accord,2013,526
Honda Accord,2014,449
Honda Accord,2015,64
Honda Accord,2016,NA
Honda Accord,2017,NA
Honda Accord,2018,NA
Honda Accord,2019,NA
Ford Fusion Energi,2011,NA
Ford Fusion Energi,2012,NA
Ford Fusion Energi,2013,6089
Ford Fusion Energi,2014,11550
Ford Fusion Energi,2015,9750
Ford Fusion Energi,2016,15938
Ford Fusion Energi,2017,9632
Ford Fusion Energi,2018,8074
Ford Fusion Energi,2019,7476
Chevy Spark,2011,NA
Chevy Spark,2012,NA
Chevy Spark,2013,560
Chevy Spark,2014,1145
Chevy Spark,2015,2629
Chevy Spark,2016,3035
Chevy Spark,2017,23
Chevy Spark,2018,7
Chevy Spark,2019,NA
Fiat 500E,2011,NA
Fiat 500E,2012,NA
Fiat 500E,2013,260
Fiat 500E,2014,1503
Fiat 500E,2015,3477
Fiat 500E,2016,3737
Fiat 500E,2017,3336
Fiat 500E,2018,2250
Fiat 500E,2019,632
Porsche Panamera S E-Hybrid,2011,NA
Porsche Panamera S E-Hybrid,2012,NA
Porsche Panamera S E-Hybrid,2013,51
Porsche Panamera S E-Hybrid,2014,879
Porsche Panamera S E-Hybrid,2015,407
Porsche Panamera S E-Hybrid,2016,393
Porsche Panamera S E-Hybrid,2017,18
Porsche Panamera S E-Hybrid,2018,2036
Porsche Panamera S E-Hybrid,2019,1958
Cadillac ELR,2011,NA
Cadillac ELR,2012,NA
Cadillac ELR,2013,6
Cadillac ELR,2014,1310
Cadillac ELR,2015,1024
Cadillac ELR,2016,534
Cadillac ELR,2017,17
Cadillac ELR,2018,1
Cadillac ELR,2019,NA
BMW i3,2011,NA
BMW i3,2012,NA
BMW i3,2013,NA
BMW i3,2014,6092
BMW i3,2015,11024
BMW i3,2016,7625
BMW i3,2017,6276
BMW i3,2018,6117
BMW i3,2019,4854
Mercedes B-Class (B250e),2011,NA
Mercedes B-Class (B250e),2012,NA
Mercedes B-Class (B250e),2013,NA
Mercedes B-Class (B250e),2014,774
Mercedes B-Class (B250e),2015,1906
Mercedes B-Class (B250e),2016,632
Mercedes B-Class (B250e),2017,744
Mercedes B-Class (B250e),2018,135
Mercedes B-Class (B250e),2019,9
BMW i8,2011,NA
BMW i8,2012,NA
BMW i8,2013,NA
BMW i8,2014,555
BMW i8,2015,2265
BMW i8,2016,1594
BMW i8,2017,488
BMW i8,2018,772
BMW i8,2019,1102
VW e-Golf,2011,NA
VW e-Golf,2012,NA
VW e-Golf,2013,NA
VW e-Golf,2014,357
VW e-Golf,2015,4232
VW e-Golf,2016,3937
VW e-Golf,2017,3534
VW e-Golf,2018,1354
VW e-Golf,2019,4863
Kia Soul EV,2011,NA
Kia Soul EV,2012,NA
Kia Soul EV,2013,NA
Kia Soul EV,2014,359
Kia Soul EV,2015,1015
Kia Soul EV,2016,1728
Kia Soul EV,2017,2157
Kia Soul EV,2018,1134
Kia Soul EV,2019,114
Porsche Cayenne S E-Hybrid,2011,NA
Porsche Cayenne S E-Hybrid,2012,NA
